"año_mes","rubro","Cantidad"
2009-12-01,"No metaliferos",88
2009-12-01,"Rocas de aplicación",359
2009-12-01,"Servicios mineros y actividades relacionadas",265
2010-01-01,"Combustibles-Producción",25
2010-01-01,"Litio",5
2010-01-01,"Metalíferos",45
2010-01-01,"Minerales no clasificados previamente",216
2010-01-01,"No metaliferos",89
2010-01-01,"Rocas de aplicación",360
2010-01-01,"Servicios mineros y actividades relacionadas",253
2010-02-01,"Combustibles-Producción",25
2010-02-01,"Litio",5
2010-02-01,"Metalíferos",45
2010-02-01,"Minerales no clasificados previamente",218
2010-02-01,"No metaliferos",89
2010-02-01,"Rocas de aplicación",359
2010-02-01,"Servicios mineros y actividades relacionadas",263
2010-03-01,"Combustibles-Producción",25
2010-03-01,"Litio",5
2010-03-01,"Metalíferos",45
2010-03-01,"Minerales no clasificados previamente",218
2010-03-01,"No metaliferos",90
2010-03-01,"Rocas de aplicación",357
2010-03-01,"Servicios mineros y actividades relacionadas",266
2010-04-01,"Combustibles-Producción",25
2010-04-01,"Litio",6
2010-04-01,"Metalíferos",45
2010-04-01,"Minerales no clasificados previamente",220
2010-04-01,"No metaliferos",90
2010-04-01,"Rocas de aplicación",355
2010-04-01,"Servicios mineros y actividades relacionadas",264
2010-05-01,"Combustibles-Producción",25
2010-05-01,"Litio",6
2010-05-01,"Metalíferos",45
2010-05-01,"Minerales no clasificados previamente",220
2010-05-01,"No metaliferos",91
2010-05-01,"Rocas de aplicación",355
2010-05-01,"Servicios mineros y actividades relacionadas",269
2010-06-01,"Combustibles-Producción",25
2010-06-01,"Litio",6
2010-06-01,"Metalíferos",49
2010-06-01,"Minerales no clasificados previamente",222
2010-06-01,"No metaliferos",92
2010-06-01,"Rocas de aplicación",358
2010-06-01,"Servicios mineros y actividades relacionadas",266
2010-07-01,"Combustibles-Producción",24
2010-07-01,"Litio",6
2010-07-01,"Metalíferos",49
2010-07-01,"Minerales no clasificados previamente",223
2010-07-01,"No metaliferos",92
2010-07-01,"Rocas de aplicación",356
2010-07-01,"Servicios mineros y actividades relacionadas",268
2010-08-01,"Combustibles-Producción",24
2010-08-01,"Litio",6
2010-08-01,"Metalíferos",49
2010-08-01,"Minerales no clasificados previamente",221
2010-08-01,"No metaliferos",91
2010-08-01,"Rocas de aplicación",355
2010-08-01,"Servicios mineros y actividades relacionadas",268
2010-09-01,"Combustibles-Producción",24
2010-09-01,"Litio",6
2010-09-01,"Metalíferos",50
2010-09-01,"Minerales no clasificados previamente",222
2010-09-01,"No metaliferos",91
2010-09-01,"Rocas de aplicación",360
2010-09-01,"Servicios mineros y actividades relacionadas",267
2010-10-01,"Combustibles-Producción",24
2010-10-01,"Litio",6
2010-10-01,"Metalíferos",50
2010-10-01,"Minerales no clasificados previamente",221
2010-10-01,"No metaliferos",91
2010-10-01,"Rocas de aplicación",359
2010-10-01,"Servicios mineros y actividades relacionadas",268
2010-11-01,"Combustibles-Producción",26
2010-11-01,"Litio",7
2010-11-01,"Metalíferos",51
2010-11-01,"Minerales no clasificados previamente",225
2010-11-01,"No metaliferos",92
2010-11-01,"Rocas de aplicación",366
2010-11-01,"Servicios mineros y actividades relacionadas",291
2010-12-01,"Combustibles-Producción",24
2010-12-01,"Litio",8
2010-12-01,"Metalíferos",52
2010-12-01,"Minerales no clasificados previamente",221
2010-12-01,"No metaliferos",92
2010-12-01,"Rocas de aplicación",367
2010-12-01,"Servicios mineros y actividades relacionadas",290
2011-01-01,"Combustibles-Producción",24
2011-01-01,"Litio",8
2011-01-01,"Metalíferos",51
2011-01-01,"Minerales no clasificados previamente",218
2011-01-01,"No metaliferos",94
2011-01-01,"Rocas de aplicación",362
2011-01-01,"Servicios mineros y actividades relacionadas",273
2011-02-01,"Combustibles-Producción",24
2011-02-01,"Litio",8
2011-02-01,"Metalíferos",51
2011-02-01,"Minerales no clasificados previamente",216
2011-02-01,"No metaliferos",93
2011-02-01,"Rocas de aplicación",362
2011-02-01,"Servicios mineros y actividades relacionadas",270
2011-03-01,"Combustibles-Producción",24
2011-03-01,"Litio",8
2011-03-01,"Metalíferos",53
2011-03-01,"Minerales no clasificados previamente",216
2011-03-01,"No metaliferos",93
2011-03-01,"Rocas de aplicación",363
2011-03-01,"Servicios mineros y actividades relacionadas",269
2011-04-01,"Combustibles-Producción",21
2011-04-01,"Litio",8
2011-04-01,"Metalíferos",53
2011-04-01,"Minerales no clasificados previamente",217
2011-04-01,"No metaliferos",93
2011-04-01,"Rocas de aplicación",363
2011-04-01,"Servicios mineros y actividades relacionadas",274
2011-05-01,"Combustibles-Producción",19
2011-05-01,"Litio",8
2011-05-01,"Metalíferos",55
2011-05-01,"Minerales no clasificados previamente",217
2011-05-01,"No metaliferos",94
2011-05-01,"Rocas de aplicación",366
2011-05-01,"Servicios mineros y actividades relacionadas",273
2011-06-01,"Combustibles-Producción",19
2011-06-01,"Litio",8
2011-06-01,"Metalíferos",56
2011-06-01,"Minerales no clasificados previamente",217
2011-06-01,"No metaliferos",95
2011-06-01,"Rocas de aplicación",366
2011-06-01,"Servicios mineros y actividades relacionadas",278
2011-07-01,"Combustibles-Producción",19
2011-07-01,"Litio",8
2011-07-01,"Metalíferos",56
2011-07-01,"Minerales no clasificados previamente",216
2011-07-01,"No metaliferos",94
2011-07-01,"Rocas de aplicación",369
2011-07-01,"Servicios mineros y actividades relacionadas",281
2011-08-01,"Combustibles-Producción",19
2011-08-01,"Litio",8
2011-08-01,"Metalíferos",57
2011-08-01,"Minerales no clasificados previamente",218
2011-08-01,"No metaliferos",94
2011-08-01,"Rocas de aplicación",370
2011-08-01,"Servicios mineros y actividades relacionadas",286
2011-09-01,"Combustibles-Producción",19
2011-09-01,"Litio",8
2011-09-01,"Metalíferos",59
2011-09-01,"Minerales no clasificados previamente",215
2011-09-01,"No metaliferos",93
2011-09-01,"Rocas de aplicación",372
2011-09-01,"Servicios mineros y actividades relacionadas",286
2011-10-01,"Combustibles-Producción",16
2011-10-01,"Litio",8
2011-10-01,"Metalíferos",60
2011-10-01,"Minerales no clasificados previamente",218
2011-10-01,"No metaliferos",91
2011-10-01,"Rocas de aplicación",374
2011-10-01,"Servicios mineros y actividades relacionadas",288
2011-11-01,"Combustibles-Producción",9
2011-11-01,"Litio",8
2011-11-01,"Metalíferos",62
2011-11-01,"Minerales no clasificados previamente",219
2011-11-01,"No metaliferos",91
2011-11-01,"Rocas de aplicación",376
2011-11-01,"Servicios mineros y actividades relacionadas",292
2011-12-01,"Combustibles-Producción",9
2011-12-01,"Litio",8
2011-12-01,"Metalíferos",61
2011-12-01,"Minerales no clasificados previamente",221
2011-12-01,"No metaliferos",93
2011-12-01,"Rocas de aplicación",373
2011-12-01,"Servicios mineros y actividades relacionadas",292
2012-01-01,"Combustibles-Producción",9
2012-01-01,"Litio",8
2012-01-01,"Metalíferos",59
2012-01-01,"Minerales no clasificados previamente",219
2012-01-01,"No metaliferos",95
2012-01-01,"Rocas de aplicación",367
2012-01-01,"Servicios mineros y actividades relacionadas",284
2012-02-01,"Combustibles-Producción",9
2012-02-01,"Litio",8
2012-02-01,"Metalíferos",59
2012-02-01,"Minerales no clasificados previamente",216
2012-02-01,"No metaliferos",95
2012-02-01,"Rocas de aplicación",368
2012-02-01,"Servicios mineros y actividades relacionadas",279
2012-03-01,"Combustibles-Producción",9
2012-03-01,"Litio",8
2012-03-01,"Metalíferos",59
2012-03-01,"Minerales no clasificados previamente",216
2012-03-01,"No metaliferos",96
2012-03-01,"Rocas de aplicación",367
2012-03-01,"Servicios mineros y actividades relacionadas",292
2012-04-01,"Combustibles-Producción",9
2012-04-01,"Litio",8
2012-04-01,"Metalíferos",60
2012-04-01,"Minerales no clasificados previamente",217
2012-04-01,"No metaliferos",96
2012-04-01,"Rocas de aplicación",364
2012-04-01,"Servicios mineros y actividades relacionadas",282
2012-05-01,"Combustibles-Producción",8
2012-05-01,"Litio",8
2012-05-01,"Metalíferos",59
2012-05-01,"Minerales no clasificados previamente",219
2012-05-01,"No metaliferos",96
2012-05-01,"Rocas de aplicación",363
2012-05-01,"Servicios mineros y actividades relacionadas",284
2012-06-01,"Combustibles-Producción",8
2012-06-01,"Litio",8
2012-06-01,"Metalíferos",59
2012-06-01,"Minerales no clasificados previamente",218
2012-06-01,"No metaliferos",96
2012-06-01,"Rocas de aplicación",369
2012-06-01,"Servicios mineros y actividades relacionadas",284
2012-07-01,"Combustibles-Producción",7
2012-07-01,"Litio",9
2012-07-01,"Metalíferos",59
2012-07-01,"Minerales no clasificados previamente",221
2012-07-01,"No metaliferos",97
2012-07-01,"Rocas de aplicación",366
2012-07-01,"Servicios mineros y actividades relacionadas",286
2012-08-01,"Combustibles-Producción",7
2012-08-01,"Litio",9
2012-08-01,"Metalíferos",58
2012-08-01,"Minerales no clasificados previamente",217
2012-08-01,"No metaliferos",99
2012-08-01,"Rocas de aplicación",365
2012-08-01,"Servicios mineros y actividades relacionadas",294
2012-09-01,"Combustibles-Producción",6
2012-09-01,"Litio",9
2012-09-01,"Metalíferos",58
2012-09-01,"Minerales no clasificados previamente",212
2012-09-01,"No metaliferos",100
2012-09-01,"Rocas de aplicación",362
2012-09-01,"Servicios mineros y actividades relacionadas",286
2012-10-01,"Combustibles-Producción",7
2012-10-01,"Litio",9
2012-10-01,"Metalíferos",57
2012-10-01,"Minerales no clasificados previamente",214
2012-10-01,"No metaliferos",100
2012-10-01,"Rocas de aplicación",362
2012-10-01,"Servicios mineros y actividades relacionadas",293
2012-11-01,"Combustibles-Producción",7
2012-11-01,"Litio",9
2012-11-01,"Metalíferos",57
2012-11-01,"Minerales no clasificados previamente",219
2012-11-01,"No metaliferos",100
2012-11-01,"Rocas de aplicación",363
2012-11-01,"Servicios mineros y actividades relacionadas",300
2012-12-01,"Combustibles-Producción",7
2012-12-01,"Litio",9
2012-12-01,"Metalíferos",57
2012-12-01,"Minerales no clasificados previamente",228
2012-12-01,"No metaliferos",100
2012-12-01,"Rocas de aplicación",374
2012-12-01,"Servicios mineros y actividades relacionadas",330
2013-01-01,"Combustibles-Producción",7
2013-01-01,"Litio",9
2013-01-01,"Metalíferos",54
2013-01-01,"Minerales no clasificados previamente",215
2013-01-01,"No metaliferos",95
2013-01-01,"Rocas de aplicación",356
2013-01-01,"Servicios mineros y actividades relacionadas",298
2013-02-01,"Combustibles-Producción",7
2013-02-01,"Litio",9
2013-02-01,"Metalíferos",55
2013-02-01,"Minerales no clasificados previamente",216
2013-02-01,"No metaliferos",98
2013-02-01,"Rocas de aplicación",364
2013-02-01,"Servicios mineros y actividades relacionadas",295
2013-03-01,"Combustibles-Producción",7
2013-03-01,"Litio",9
2013-03-01,"Metalíferos",55
2013-03-01,"Minerales no clasificados previamente",218
2013-03-01,"No metaliferos",98
2013-03-01,"Rocas de aplicación",372
2013-03-01,"Servicios mineros y actividades relacionadas",302
2013-04-01,"Combustibles-Producción",7
2013-04-01,"Litio",9
2013-04-01,"Metalíferos",55
2013-04-01,"Minerales no clasificados previamente",219
2013-04-01,"No metaliferos",97
2013-04-01,"Rocas de aplicación",371
2013-04-01,"Servicios mineros y actividades relacionadas",303
2013-05-01,"Combustibles-Producción",8
2013-05-01,"Litio",9
2013-05-01,"Metalíferos",55
2013-05-01,"Minerales no clasificados previamente",217
2013-05-01,"No metaliferos",95
2013-05-01,"Rocas de aplicación",372
2013-05-01,"Servicios mineros y actividades relacionadas",301
2013-06-01,"Combustibles-Producción",8
2013-06-01,"Litio",9
2013-06-01,"Metalíferos",54
2013-06-01,"Minerales no clasificados previamente",219
2013-06-01,"No metaliferos",96
2013-06-01,"Rocas de aplicación",371
2013-06-01,"Servicios mineros y actividades relacionadas",305
2013-07-01,"Combustibles-Producción",7
2013-07-01,"Litio",9
2013-07-01,"Metalíferos",54
2013-07-01,"Minerales no clasificados previamente",218
2013-07-01,"No metaliferos",97
2013-07-01,"Rocas de aplicación",369
2013-07-01,"Servicios mineros y actividades relacionadas",294
2013-08-01,"Combustibles-Producción",7
2013-08-01,"Litio",9
2013-08-01,"Metalíferos",53
2013-08-01,"Minerales no clasificados previamente",218
2013-08-01,"No metaliferos",96
2013-08-01,"Rocas de aplicación",372
2013-08-01,"Servicios mineros y actividades relacionadas",297
2013-09-01,"Combustibles-Producción",7
2013-09-01,"Litio",9
2013-09-01,"Metalíferos",52
2013-09-01,"Minerales no clasificados previamente",217
2013-09-01,"No metaliferos",96
2013-09-01,"Rocas de aplicación",374
2013-09-01,"Servicios mineros y actividades relacionadas",301
2013-10-01,"Combustibles-Producción",7
2013-10-01,"Litio",9
2013-10-01,"Metalíferos",52
2013-10-01,"Minerales no clasificados previamente",215
2013-10-01,"No metaliferos",95
2013-10-01,"Rocas de aplicación",369
2013-10-01,"Servicios mineros y actividades relacionadas",293
2013-11-01,"Combustibles-Producción",7
2013-11-01,"Litio",9
2013-11-01,"Metalíferos",54
2013-11-01,"Minerales no clasificados previamente",218
2013-11-01,"No metaliferos",94
2013-11-01,"Rocas de aplicación",378
2013-11-01,"Servicios mineros y actividades relacionadas",310
2013-12-01,"Combustibles-Producción",7
2013-12-01,"Litio",9
2013-12-01,"Metalíferos",52
2013-12-01,"Minerales no clasificados previamente",217
2013-12-01,"No metaliferos",96
2013-12-01,"Rocas de aplicación",380
2013-12-01,"Servicios mineros y actividades relacionadas",308
2014-01-01,"Combustibles-Producción",7
2014-01-01,"Litio",9
2014-01-01,"Metalíferos",48
2014-01-01,"Minerales no clasificados previamente",216
2014-01-01,"No metaliferos",95
2014-01-01,"Rocas de aplicación",376
2014-01-01,"Servicios mineros y actividades relacionadas",286
2014-02-01,"Combustibles-Producción",7
2014-02-01,"Litio",9
2014-02-01,"Metalíferos",49
2014-02-01,"Minerales no clasificados previamente",219
2014-02-01,"No metaliferos",94
2014-02-01,"Rocas de aplicación",377
2014-02-01,"Servicios mineros y actividades relacionadas",286
2014-03-01,"Combustibles-Producción",7
2014-03-01,"Litio",9
2014-03-01,"Metalíferos",48
2014-03-01,"Minerales no clasificados previamente",215
2014-03-01,"No metaliferos",96
2014-03-01,"Rocas de aplicación",375
2014-03-01,"Servicios mineros y actividades relacionadas",284
2014-04-01,"Combustibles-Producción",8
2014-04-01,"Litio",9
2014-04-01,"Metalíferos",47
2014-04-01,"Minerales no clasificados previamente",219
2014-04-01,"No metaliferos",97
2014-04-01,"Rocas de aplicación",377
2014-04-01,"Servicios mineros y actividades relacionadas",286
2014-05-01,"Combustibles-Producción",8
2014-05-01,"Litio",9
2014-05-01,"Metalíferos",46
2014-05-01,"Minerales no clasificados previamente",214
2014-05-01,"No metaliferos",96
2014-05-01,"Rocas de aplicación",373
2014-05-01,"Servicios mineros y actividades relacionadas",286
2014-06-01,"Combustibles-Producción",8
2014-06-01,"Litio",9
2014-06-01,"Metalíferos",47
2014-06-01,"Minerales no clasificados previamente",213
2014-06-01,"No metaliferos",94
2014-06-01,"Rocas de aplicación",377
2014-06-01,"Servicios mineros y actividades relacionadas",287
2014-07-01,"Combustibles-Producción",8
2014-07-01,"Litio",9
2014-07-01,"Metalíferos",47
2014-07-01,"Minerales no clasificados previamente",211
2014-07-01,"No metaliferos",92
2014-07-01,"Rocas de aplicación",373
2014-07-01,"Servicios mineros y actividades relacionadas",288
2014-08-01,"Combustibles-Producción",8
2014-08-01,"Litio",9
2014-08-01,"Metalíferos",46
2014-08-01,"Minerales no clasificados previamente",215
2014-08-01,"No metaliferos",90
2014-08-01,"Rocas de aplicación",371
2014-08-01,"Servicios mineros y actividades relacionadas",292
2014-09-01,"Combustibles-Producción",8
2014-09-01,"Litio",9
2014-09-01,"Metalíferos",46
2014-09-01,"Minerales no clasificados previamente",215
2014-09-01,"No metaliferos",88
2014-09-01,"Rocas de aplicación",372
2014-09-01,"Servicios mineros y actividades relacionadas",299
2014-10-01,"Combustibles-Producción",8
2014-10-01,"Litio",9
2014-10-01,"Metalíferos",46
2014-10-01,"Minerales no clasificados previamente",215
2014-10-01,"No metaliferos",88
2014-10-01,"Rocas de aplicación",371
2014-10-01,"Servicios mineros y actividades relacionadas",297
2014-11-01,"Combustibles-Producción",8
2014-11-01,"Litio",9
2014-11-01,"Metalíferos",47
2014-11-01,"Minerales no clasificados previamente",215
2014-11-01,"No metaliferos",89
2014-11-01,"Rocas de aplicación",373
2014-11-01,"Servicios mineros y actividades relacionadas",311
2014-12-01,"Combustibles-Producción",8
2014-12-01,"Litio",9
2014-12-01,"Metalíferos",47
2014-12-01,"Minerales no clasificados previamente",213
2014-12-01,"No metaliferos",91
2014-12-01,"Rocas de aplicación",374
2014-12-01,"Servicios mineros y actividades relacionadas",312
2015-01-01,"Combustibles-Producción",8
2015-01-01,"Litio",9
2015-01-01,"Metalíferos",46
2015-01-01,"Minerales no clasificados previamente",216
2015-01-01,"No metaliferos",90
2015-01-01,"Rocas de aplicación",372
2015-01-01,"Servicios mineros y actividades relacionadas",299
2015-02-01,"Combustibles-Producción",7
2015-02-01,"Litio",9
2015-02-01,"Metalíferos",47
2015-02-01,"Minerales no clasificados previamente",211
2015-02-01,"No metaliferos",90
2015-02-01,"Rocas de aplicación",370
2015-02-01,"Servicios mineros y actividades relacionadas",302
2015-03-01,"Combustibles-Producción",6
2015-03-01,"Litio",9
2015-03-01,"Metalíferos",47
2015-03-01,"Minerales no clasificados previamente",215
2015-03-01,"No metaliferos",90
2015-03-01,"Rocas de aplicación",373
2015-03-01,"Servicios mineros y actividades relacionadas",298
2015-04-01,"Combustibles-Producción",6
2015-04-01,"Litio",9
2015-04-01,"Metalíferos",47
2015-04-01,"Minerales no clasificados previamente",216
2015-04-01,"No metaliferos",87
2015-04-01,"Rocas de aplicación",371
2015-04-01,"Servicios mineros y actividades relacionadas",307
2015-05-01,"Combustibles-Producción",6
2015-05-01,"Litio",9
2015-05-01,"Metalíferos",48
2015-05-01,"Minerales no clasificados previamente",220
2015-05-01,"No metaliferos",87
2015-05-01,"Rocas de aplicación",370
2015-05-01,"Servicios mineros y actividades relacionadas",306
