"año_mes","rubro","Cantidad"
2023-11-01,"Metalíferos",62
2023-11-01,"Minerales no clasificados previamente",208
2023-11-01,"No metaliferos",88
2023-11-01,"Rocas de aplicación",381
2023-11-01,"Servicios mineros y actividades relacionadas",373
2023-12-01,"Combustibles-Producción",3
2023-12-01,"Litio",23
2023-12-01,"Metalíferos",62
2023-12-01,"Minerales no clasificados previamente",204
2023-12-01,"No metaliferos",86
2023-12-01,"Rocas de aplicación",372
2023-12-01,"Servicios mineros y actividades relacionadas",366
2024-01-01,"Combustibles-Producción",3
2024-01-01,"Litio",23
2024-01-01,"Metalíferos",62
2024-01-01,"Minerales no clasificados previamente",200
2024-01-01,"No metaliferos",87
2024-01-01,"Rocas de aplicación",369
2024-01-01,"Servicios mineros y actividades relacionadas",366
2024-02-01,"Combustibles-Producción",3
2024-02-01,"Litio",24
2024-02-01,"Metalíferos",62
2024-02-01,"Minerales no clasificados previamente",196
2024-02-01,"No metaliferos",86
2024-02-01,"Rocas de aplicación",369
2024-02-01,"Servicios mineros y actividades relacionadas",370
2024-03-01,"Combustibles-Producción",3
2024-03-01,"Litio",24
2024-03-01,"Metalíferos",63
2024-03-01,"Minerales no clasificados previamente",196
2024-03-01,"No metaliferos",86
2024-03-01,"Rocas de aplicación",367
2024-03-01,"Servicios mineros y actividades relacionadas",373
2024-04-01,"Combustibles-Producción",3
2024-04-01,"Litio",24
2024-04-01,"Metalíferos",63
2024-04-01,"Minerales no clasificados previamente",195
2024-04-01,"No metaliferos",87
2024-04-01,"Rocas de aplicación",368
2024-04-01,"Servicios mineros y actividades relacionadas",368
2024-05-01,"Combustibles-Producción",3
2024-05-01,"Litio",24
2024-05-01,"Metalíferos",61
2024-05-01,"Minerales no clasificados previamente",193
2024-05-01,"No metaliferos",88
2024-05-01,"Rocas de aplicación",364
2024-05-01,"Servicios mineros y actividades relacionadas",364
2024-06-01,"Combustibles-Producción",3
2024-06-01,"Litio",24
2024-06-01,"Metalíferos",61
2024-06-01,"Minerales no clasificados previamente",195
2024-06-01,"No metaliferos",87
2024-06-01,"Rocas de aplicación",361
2024-06-01,"Servicios mineros y actividades relacionadas",364
2024-07-01,"Combustibles-Producción",3
2024-07-01,"Litio",24
2024-07-01,"Metalíferos",60
2024-07-01,"Minerales no clasificados previamente",194
2024-07-01,"No metaliferos",86
2024-07-01,"Rocas de aplicación",357
2024-07-01,"Servicios mineros y actividades relacionadas",367
2024-08-01,"Combustibles-Producción",3
2024-08-01,"Litio",24
2024-08-01,"Metalíferos",59
2024-08-01,"Minerales no clasificados previamente",195
2024-08-01,"No metaliferos",86
2024-08-01,"Rocas de aplicación",355
2024-08-01,"Servicios mineros y actividades relacionadas",366
2024-09-01,"Combustibles-Producción",3
2024-09-01,"Litio",24
2024-09-01,"Metalíferos",59
2024-09-01,"Minerales no clasificados previamente",193
2024-09-01,"No metaliferos",87
2024-09-01,"Rocas de aplicación",353
2024-09-01,"Servicios mineros y actividades relacionadas",361
2024-10-01,"Combustibles-Producción",3
2024-10-01,"Litio",24
2024-10-01,"Metalíferos",60
2024-10-01,"Minerales no clasificados previamente",193
2024-10-01,"No metaliferos",89
2024-10-01,"Rocas de aplicación",351
2024-10-01,"Servicios mineros y actividades relacionadas",362
2024-11-01,"Combustibles-Producción",3
2024-11-01,"Litio",24
2024-11-01,"Metalíferos",62
2024-11-01,"Minerales no clasificados previamente",192
2024-11-01,"No metaliferos",88
2024-11-01,"Rocas de aplicación",350
2024-11-01,"Servicios mineros y actividades relacionadas",357
2024-12-01,"Combustibles-Producción",3
2024-12-01,"Litio",24
2024-12-01,"Metalíferos",63
2024-12-01,"Minerales no clasificados previamente",190
2024-12-01,"No metaliferos",88
2024-12-01,"Rocas de aplicación",345
2024-12-01,"Servicios mineros y actividades relacionadas",350
2025-01-01,"Combustibles-Producción",3
2025-01-01,"Litio",24
2025-01-01,"Metalíferos",63
2025-01-01,"Minerales no clasificados previamente",187
2025-01-01,"No metaliferos",88
2025-01-01,"Rocas de aplicación",343
2025-01-01,"Servicios mineros y actividades relacionadas",345
2025-02-01,"Combustibles-Producción",3
2025-02-01,"Litio",25
2025-02-01,"Metalíferos",64
2025-02-01,"Minerales no clasificados previamente",186
2025-02-01,"No metaliferos",88
2025-02-01,"Rocas de aplicación",342
2025-02-01,"Servicios mineros y actividades relacionadas",347
2025-03-01,"Combustibles-Producción",3
2025-03-01,"Litio",25
2025-03-01,"Metalíferos",62
2025-03-01,"Minerales no clasificados previamente",183
2025-03-01,"No metaliferos",89
2025-03-01,"Rocas de aplicación",343
2025-03-01,"Servicios mineros y actividades relacionadas",344
2025-04-01,"Combustibles-Producción",3
2025-04-01,"Litio",24
2025-04-01,"Metalíferos",61
2025-04-01,"Minerales no clasificados previamente",183
2025-04-01,"No metaliferos",90
2025-04-01,"Rocas de aplicación",342
2025-04-01,"Servicios mineros y actividades relacionadas",341
2025-05-01,"Combustibles-Producción",3
2025-05-01,"Litio",24
2025-05-01,"Metalíferos",61
2025-05-01,"Minerales no clasificados previamente",181
2025-05-01,"No metaliferos",90
2025-05-01,"Rocas de aplicación",343
2025-05-01,"Servicios mineros y actividades relacionadas",340
2025-06-01,"Combustibles-Producción",3
2025-06-01,"Litio",24
2025-06-01,"Metalíferos",59
2025-06-01,"Minerales no clasificados previamente",180
2025-06-01,"No metaliferos",91
2025-06-01,"Rocas de aplicación",339
2025-06-01,"Servicios mineros y actividades relacionadas",337
2025-07-01,"Combustibles-Producción",3
2025-07-01,"Litio",24
2025-07-01,"Metalíferos",59
2025-07-01,"Minerales no clasificados previamente",179
2025-07-01,"No metaliferos",91
2025-07-01,"Rocas de aplicación",335
2025-07-01,"Servicios mineros y actividades relacionadas",333
2025-08-01,"Combustibles-Producción",3
2025-08-01,"Litio",24
2025-08-01,"Metalíferos",59
2025-08-01,"Minerales no clasificados previamente",177
2025-08-01,"No metaliferos",89
2025-08-01,"Rocas de aplicación",336
2025-08-01,"Servicios mineros y actividades relacionadas",331
2025-09-01,"Combustibles-Producción",3
2025-09-01,"Litio",24
2025-09-01,"Metalíferos",59
2025-09-01,"Minerales no clasificados previamente",175
2025-09-01,"No metaliferos",89
2025-09-01,"Rocas de aplicación",336
2025-09-01,"Servicios mineros y actividades relacionadas",333
2025-10-01,"Combustibles-Producción",3
2025-10-01,"Litio",24
2025-10-01,"Metalíferos",60
2025-10-01,"Minerales no clasificados previamente",169
2025-10-01,"No metaliferos",89
2025-10-01,"Rocas de aplicación",333
2025-10-01,"Servicios mineros y actividades relacionadas",333
2025-11-01,"Combustibles-Producción",3
2025-11-01,"Litio",24
2025-11-01,"Metalíferos",60
2025-11-01,"Minerales no clasificados previamente",171
2025-11-01,"No metaliferos",88
2025-11-01,"Rocas de aplicación",333
2025-11-01,"Servicios mineros y actividades relacionadas",329
2025-12-01,"Combustibles-Producción",3
2025-12-01,"Litio",24
2025-12-01,"Metalíferos",60
2025-12-01,"Minerales no clasificados previamente",169
2025-12-01,"No metaliferos",86
2025-12-01,"Rocas de aplicación",334
2025-12-01,"Servicios mineros y actividades relacionadas",329
2026-01-01,"Combustibles-Producción",3
2026-01-01,"Litio",24
2026-01-01,"Metalíferos",59
2026-01-01,"Minerales no clasificados previamente",167
2026-01-01,"No metaliferos",87
2026-01-01,"Rocas de aplicación",328
2026-01-01,"Servicios mineros y actividades relacionadas",330
